Username,Account Number,Balance
user1,12345678901,1300.0
user2,12345678902,4220.0
user3,12345678903,2580.0
user4,12345678904,3172.0
user5,12345678905,6936.0
user6,12345678906,7132.0
user7,12345678907,4633.0
user8,12345678908,1760.0
user9,12345678909,4715.0
user10,12345678910,2473.0
user11,12345678911,749.0
user12,12345678912,9357.0
user13,12345678913,387.0
user14,12345678914,5987.0
user15,12345678915,3691.0
user16,12345678916,5336.0
user17,12345678917,5824.0
user18,12345678918,2589.0
user19,12345678919,5894.0
user20,12345678920,6236.0
user21,12345678921,3507.0
user22,12345678922,2434.0
user23,12345678923,9144.0
user24,12345678924,8335.0
user25,12345678925,4578.0
user26,12345678926,3455.0
user27,12345678927,9699.0
user28,12345678928,3552.0
user29,12345678929,1168.0
user30,12345678930,4465.0
user31,12345678931,7570.0
user32,12345678932,2996.0
user33,12345678933,7952.0
user34,12345678934,830.0
user35,12345678935,3631.0
user36,12345678936,5088.0
user37,12345678937,5960.0
user38,12345678938,5432.0
user39,12345678939,7309.0
user40,12345678940,4628.0
user41,12345678941,6034.0
user42,12345678942,1538.0
user43,12345678943,3250.0
user44,12345678944,5554.0
user45,12345678945,7464.0
user46,12345678946,1566.0
user47,12345678947,9740.0
user48,12345678948,996.0
user49,12345678949,1307.0
user50,12345678950,8595.0
